742248,2025-08-03 21:31:43,120.091835,30.059891
742248,2025-08-03 21:31:46,120.091866,30.059978
742248,2025-08-03 21:31:48,120.091888,30.060053
742248,2025-08-03 21:31:50,120.091904,30.060123
742248,2025-08-03 21:31:52,120.091919,30.060198
742248,2025-08-03 21:31:54,120.091934,30.060265
742248,2025-08-03 21:31:56,120.091965,30.060316
742248,2025-08-03 21:31:58,120.091965,30.060328
742248,2025-08-03 21:32:00,120.091965,30.060328
742248,2025-08-03 21:32:02,120.091965,30.060326
742248,2025-08-03 21:32:04,120.091957,30.060326
742248,2025-08-03 21:32:07,120.091957,30.060328
742248,2025-08-03 21:32:09,120.091965,30.060356
742248,2025-08-03 21:32:11,120.091972,30.060419
742248,2025-08-03 21:32:13,120.091972,30.060516
742248,2025-08-03 21:32:15,120.092003,30.060608
742248,2025-08-03 21:32:17,120.092033,30.060699
742248,2025-08-03 21:32:19,120.092064,30.060783
742248,2025-08-03 21:32:21,120.092087,30.060877
742248,2025-08-03 21:32:23,120.092133,30.061020
742248,2025-08-03 21:32:26,120.092171,30.061117
742248,2025-08-03 21:32:28,120.092194,30.061209
742248,2025-08-03 21:32:30,120.092224,30.061291
742248,2025-08-03 21:32:32,120.092255,30.061365
742248,2025-08-03 21:32:34,120.092285,30.061440
742248,2025-08-03 21:32:36,120.092300,30.061514
742248,2025-08-03 21:32:38,120.092331,30.061590
742248,2025-08-03 21:32:40,120.092354,30.061666
742248,2025-08-03 21:32:42,120.092369,30.061745
742248,2025-08-03 21:32:44,120.092400,30.061859
742248,2025-08-03 21:32:46,120.092415,30.061935
742248,2025-08-03 21:32:49,120.092430,30.062014
742248,2025-08-03 21:32:51,120.092445,30.062084
742248,2025-08-03 21:32:53,120.092461,30.062153
742248,2025-08-03 21:32:55,120.092461,30.062231
742248,2025-08-03 21:32:57,120.092445,30.062309
742248,2025-08-03 21:32:59,120.092430,30.062387
742248,2025-08-03 21:33:01,120.092384,30.062460
742248,2025-08-03 21:33:03,120.092339,30.062529
742248,2025-08-03 21:33:05,120.092239,30.062634
742248,2025-08-03 21:33:07,120.092178,30.062712
742248,2025-08-03 21:33:10,120.092072,30.062796
742248,2025-08-03 21:33:12,120.091949,30.062885
742248,2025-08-03 21:33:14,120.091812,30.062996
742248,2025-08-03 21:33:16,120.091675,30.063101
742248,2025-08-03 21:33:18,120.091537,30.063208
742248,2025-08-03 21:33:20,120.091393,30.063320
742248,2025-08-03 21:33:22,120.091248,30.063440
742248,2025-08-03 21:33:24,120.091095,30.063555
742248,2025-08-03 21:33:26,120.090866,30.063730
742248,2025-08-03 21:33:28,120.090721,30.063856
742248,2025-08-03 21:33:31,120.090607,30.063976
742248,2025-08-03 21:33:33,120.090530,30.064072
742248,2025-08-03 21:33:35,120.090446,30.064175
742248,2025-08-03 21:33:37,120.090355,30.064297
742248,2025-08-03 21:33:39,120.090256,30.064442
